"skill","status","domain","use_case","tier","recommended_action","target_or_merge","reason"
"breakdown-epic-arch","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"breakdown-epic-pm","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"breakdown-feature-implementation","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"breakdown-feature-prd","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"breakdown-plan","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"breakdown-test","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"brutalist","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"centos-linux-triage","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"chrome-devtools","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"cli-mastery","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"cloud-design-patterns","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"code-exemplars-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"code-tour","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"codeql","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"comment-code-generate-a-tutorial","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"composition-patterns","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"containerize-aspnet-framework","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"containerize-aspnetcore","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"context-map","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"conventional-commit","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"convert-plaintext-to-md","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"copilot-cli-quickstart","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"copilot-instructions-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"copilot-sdk","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"copilot-spaces","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"copilot-usage-metrics","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"cosmosdb-datamodeling","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"create-agentsmd","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"create-architectural-decision-record","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"create-github-action-workflow-specification","archived","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Archive-candidate","Merge","github-actions-ci","Workflow-spec content overlaps with core CI governance skill"
"create-github-issue-feature-from-specification","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"create-github-issues-feature-from-implementation-plan","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"create-github-issues-for-unmet-specification-requirements","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"create-github-pull-request-from-specification","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"create-implementation-plan","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Core","Keep active","","Useful and currently available"
"create-llms","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"create-readme","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Core","Keep active","","Useful and currently available"
"create-specification","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Core","Keep active","","Useful and currently available"
"create-spring-boot-java-project","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"create-spring-boot-kotlin-project","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"create-technical-spike","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Core","Keep active","","Useful and currently available"
"create-tldr-page","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"creating-oracle-to-postgres-master-migration-plan","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"creating-oracle-to-postgres-migration-bug-report","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"creating-oracle-to-postgres-migration-integration-tests","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"csharp-async","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-docs","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-mstest","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-nunit","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-tunit","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"csharp-xunit","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"daily-prep","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"datanalysis-credit-risk","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"dataverse-python-advanced-patterns","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"dataverse-python-production-code","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"dataverse-python-quickstart","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"dataverse-python-usecase-builder","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"debian-linux-triage","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"debug-build-failure","active","qa-testing","Test generation, validation and failure diagnosis","Core","Keep active","","Useful and currently available"
"declarative-agents","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"dependabot","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"deploy-to-vercel","active","ops-infra","DevOps, infra operations, deployment and system triage","Core","Keep active","","Useful and currently available"
"devops-rollout-plan","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"documentation-writer","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"dotnet-best-practices","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"dotnet-design-pattern-review","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"dotnet-timezone","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"dotnet-upgrade","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"doublecheck","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"draw-io-diagram-generator","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"editorconfig","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"ef-core","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"email-drafter","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"entra-agent-user","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"eval-driven-dev","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"exam-ready","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"excalidraw-diagram-generator","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"fabric-lakehouse","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"fedora-linux-triage","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"finalize-agent-prompt","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"finnish-humanizer","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"first-ask","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"flowstudio-power-automate-build","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"flowstudio-power-automate-debug","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"flowstudio-power-automate-governance","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"flowstudio-power-automate-mcp","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"flowstudio-power-automate-monitoring","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"fluentui-blazor","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"folder-structure-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"foundry-agent-sync","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"freecad-scripts","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"from-the-other-side-vega","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"game-engine","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"gdpr-compliant","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"gen-specs-as-issues","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"generate-custom-instructions-from-codebase","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"generate-tests","active","qa-testing","Test generation, validation and failure diagnosis","Core","Keep active","","Useful and currently available"
"geofeed-tuner","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"gh-cli","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"git-commit","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"git-flow-branch-creator","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"github-actions-ci","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Core","Keep active","","Useful and currently available"
"github-copilot-starter","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"github-issues","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"go-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"gsap-framer-scroll-animation","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"gsap-framer-scroll-animation copy","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive","N/A","Duplicate copy"
"gtm-0-to-1-launch","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-ai-gtm","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-board-and-investor-communication","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-developer-ecosystem","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-enterprise-account-planning","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-enterprise-onboarding","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-operating-cadence","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-partnership-architecture","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-positioning-strategy","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-product-led-growth","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"gtm-technical-product-pricing","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"image-manipulation-image-magick","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"import-infrastructure-as-code","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"integrate-context-matic","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"issue-fields-migration","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"java-add-graalvm-native-image-support","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-docs","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-junit","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-refactoring-extract-method","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-refactoring-remove-parameter","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"java-springboot","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"javascript-typescript-jest","active","qa-testing","Test generation, validation and failure diagnosis","Optional","Keep active","","Useful and currently available"
"kotlin-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"kotlin-springboot","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"legacy-circuit-mockups","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"linkedin-post-formatter","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"lsp-setup","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"make-repo-contribution","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"make-skill-template","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"markdown-to-html","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"mcp-cli","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mcp-copilot-studio-server-generator","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mcp-create-adaptive-cards","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mcp-create-declarative-agent","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mcp-deploy-manage-agents","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mcp-security-audit","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"meeting-minutes","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"memory-merger","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"mentoring-juniors","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"microsoft-agent-framework","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"microsoft-code-reference","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"microsoft-docs","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"microsoft-skill-creator","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"migrating-oracle-to-postgres-stored-procedures","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"mkdocs-translations","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"model-recommendation","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"msstore-cli","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"multi-stage-dockerfile","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"my-issues","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"my-pull-requests","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"nano-banana-pro-openrouter","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"napkin","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"next-intl-add-language","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"noob-mode","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"nuget-manager","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"nuxt-best-practices","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Core","Keep active","","Useful and currently available"
"nuxt-ui","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Core","Keep active","","Useful and currently available"
"onboard-context-matic","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"oo-component-documentation","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"openapi-to-application-code","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"pdftk-server","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"penpot-uiux-design","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"performance-audit","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Core","Keep active","","Useful and currently available"
"phoenix-cli","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"phoenix-evals","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"phoenix-tracing","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"php-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"planning-oracle-to-postgres-migration-integration-testing","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"plantuml-ascii","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"playwright-automation-fill-in-form","active","qa-testing","Test generation, validation and failure diagnosis","Optional","Keep active","","Useful and currently available"
"playwright-explore-website","active","qa-testing","Test generation, validation and failure diagnosis","Optional","Keep active","","Useful and currently available"
"playwright-generate-test","archived","qa-testing","Test generation, validation and failure diagnosis","Archive-candidate","Archive","generate-tests","Renamed and consolidated into standardized testing skill"
"polyglot-test-agent","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"postgresql-code-review","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"postgresql-optimization","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"power-apps-code-app-scaffold","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-bi-dax-optimization","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-bi-model-design-review","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-bi-performance-troubleshooting","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-bi-report-design-consultation","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-platform-architect","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"power-platform-mcp-connector-suite","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"powerbi-modeling","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"prd","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"premium-frontend-ui","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"project-workflow-analysis-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"prompt-builder","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"publish-to-pages","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"pytest-coverage","active","qa-testing","Test generation, validation and failure diagnosis","Optional","Keep active","","Useful and currently available"
"python-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"python-pypi-package-builder","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
